Scale,Experiment Mode,Model Name,Category,Accuracy,Precision,Recall,F1-Score,ROC-AUC,Runtime-Seconds
10sec,real_only,LogisticRegression,classical,0.5723199518869343,0.44530945893343715,0.4462648722449776,0.44578665367754505,0.5469924826829717,17.207627534866333
10sec,real_only,SVM,classical,0.5624718087505638,0.2376987130961393,0.06124439243222157,0.09739454094292804,0.35654057877913237,29.601585149765015
2sec,gan_augmented,RandomForest,classical,0.7433551260456219,0.7083801392945406,0.5784472004109489,0.6368539053505423,0.7195578304890855,252.13824343681335
2sec,gan_augmented,XGBoost,classical,0.7119650555285922,0.6626218054789483,0.5289498789168562,0.5882881044684758,0.7109172056712588,229.73639917373657
2sec,gan_augmented,TCN,temporal_deep,0.7032289376766494,0.645822053780906,0.5252073090188596,0.5793030879436643,0.7160637082167138,177.37506198883057
2sec,gan_augmented,Transformer,temporal_deep,0.6928655037542467,0.6495205336668751,0.4572906729287444,0.53671245855045,0.6985448290536449,197.41021370887756
2sec,gan_augmented,CNN-LSTM,temporal_deep,0.6664144802580866,0.5772519387552197,0.5325823732296177,0.5540182064543216,0.6763385675531466,134.5572428703308
2sec,gan_augmented,GRU,temporal_deep,0.6602335341308134,0.567274711568444,0.5340133558376752,0.5501417501417502,0.6677268217166442,164.26971101760864
2sec,gan_augmented,LSTM,temporal_deep,0.6538812915750707,0.5584814656346027,0.5268217509356424,0.5421898306364821,0.6631769549904019,168.4763000011444
2sec,gan_augmented,KNN,classical,0.5873469038170555,0.47635115813554474,0.6112130329492919,0.5354204165595269,0.6096985729266183,269.62372970581055
2sec,gan_augmented,LogisticRegression,classical,0.5844634139378194,0.46567539576860484,0.4619505393703677,0.4638054890403389,0.5374625507256415,384.00641441345215
2sec,gan_augmented,SVM,classical,0.47246409912353327,0.2960736505801244,0.2584207822704924,0.27596880999960816,0.3813863608462858,289.304358959198
2sec,real_only,RandomForest,classical,0.7423416221771776,0.707765237020316,0.5752183165773831,0.6346449680187839,0.7329912881689663,25.182124137878418
2sec,real_only,XGBoost,classical,0.7212436120706883,0.6847088074973702,0.52542746018933,0.5945856170071416,0.7204543596961501,22.465189933776855
2sec,real_only,TCN,temporal_deep,0.705470065949125,0.6670366819718452,0.48506641226975855,0.5616807936609096,0.7113898259982758,61.286611795425415
2sec,real_only,LSTM,temporal_deep,0.6863847888771519,0.6177676740661496,0.508512511924855,0.5578409273868942,0.6861534386789833,61.69748139381409
2sec,real_only,CNN-LSTM,temporal_deep,0.6827590144745482,0.6130032350826743,0.500587069787921,0.5511209856594628,0.683925701723283,66.46006464958191
2sec,real_only,Transformer,temporal_deep,0.6755788391812031,0.6055687701133343,0.47640713289792325,0.5332785706951433,0.676914515763441,93.94996619224548
2sec,real_only,GRU,temporal_deep,0.6743369400747995,0.5986491290437256,0.4943127614295149,0.541500864182644,0.6853682229788441,62.254587173461914
2sec,real_only,KNN,classical,0.6295286493276615,0.5293639687626958,0.4302854626843766,0.4747100613273423,0.6284085020701754,53.27826905250549
2sec,real_only,LogisticRegression,classical,0.6055614240443087,0.49271058315334776,0.4687385337932047,0.48042570794629763,0.5835546929919916,143.52461314201355
2sec,real_only,SVM,classical,0.5585120050246952,0.22647409172126265,0.05580832171424378,0.08954960259052105,0.36473984869922205,62.05618405342102
5sec,gan_augmented,RandomForest,classical,0.7438740638406166,0.7090069284064665,0.5757149554617909,0.6354463130659768,0.7257751124364326,89.71152353286743
5sec,gan_augmented,XGBoost,classical,0.7197338762451829,0.6633510167992926,0.5627754336615096,0.608938264089687,0.7184021854329175,81.11363172531128
5sec,gan_augmented,Transformer,temporal_deep,0.688795171962481,0.6307615852900982,0.47604313173933427,0.5425884364646788,0.6910414699375336,79.89114379882812
5sec,gan_augmented,CNN-LSTM,temporal_deep,0.6672725950701666,0.5795227583307053,0.516924519456165,0.5464367132520567,0.6663867451381196,67.60513043403625
5sec,gan_augmented,TCN,temporal_deep,0.6563295281029593,0.5698478561549101,0.4635724331926864,0.5112455405615015,0.6620865549447018,68.60916376113892
5sec,gan_augmented,KNN,classical,0.6523667563440704,0.5438847775921063,0.6408813877168308,0.5884125344352618,0.6752399159364079,87.33212971687317
